ID	Account Name	Company	Parent Account	Disable	Account Number	Is Group	Root Type	Report Type	Currency	Account Category	Account Type	Tax Rate	Frozen	Balance must be	Old Parent	Include in gross
1000 - Application of Funds (Assets) - JMIT	Application of Funds (Assets)	JMIT		0	1000	1	Asset	Balance Sheet	PHP			0	No		0
1100-1600 - Current Assets - JMIT	Current Assets	JMIT	1000 - Application of Funds (Assets) - JMIT	0	1100-1600	1	Asset	Balance Sheet	PHP			0	No		0
1100 - Cash In Hand - JMIT	Cash In Hand	JMIT	1100-1600 - Current Assets - JMIT	0	1100	1	Asset	Balance Sheet	PHP	Cash and Cash Equivalents	Cash	0	No		0
1110 - Cash - JMIT	Cash	JMIT	1100 - Cash In Hand - JMIT	0	1110	0	Asset	Balance Sheet	PHP	Cash and Cash Equivalents	Cash	0	No		0
1200 - Bank Accounts - JMIT	Bank Accounts	JMIT	1100-1600 - Current Assets - JMIT	0	1200	1	Asset	Balance Sheet	PHP	Cash and Cash Equivalents	Bank	0	No		0
1300 - Accounts Receivable - JMIT	Accounts Receivable	JMIT	1100-1600 - Current Assets - JMIT	0	1300	1	Asset	Balance Sheet	PHP			0	No		0
1310 - Debtors - JMIT	Debtors	JMIT	1300 - Accounts Receivable - JMIT	0	1310	0	Asset	Balance Sheet	PHP	Trade Receivables	Receivable	0	No		0
1400 - Stock Assets - JMIT	Stock Assets	JMIT	1100-1600 - Current Assets - JMIT	0	1400	1	Asset	Balance Sheet	PHP	Stock Assets	Stock	0	No		0
1410 - Stock In Hand - JMIT	Stock In Hand	JMIT	1400 - Stock Assets - JMIT	0	1410	0	Asset	Balance Sheet	PHP	Stock Assets	Stock	0	No		0
1500 - Tax Assets - JMIT	Tax Assets	JMIT	1100-1600 - Current Assets - JMIT	0	1500	1	Asset	Balance Sheet	PHP	Other Current Assets		0	No		0
1600 - Loans and Advances (Assets) - JMIT	Loans and Advances (Assets)	JMIT	1100-1600 - Current Assets - JMIT	0	1600	1	Asset	Balance Sheet	PHP			0	No		0
1610 - Employee Advances - JMIT	Employee Advances	JMIT	1600 - Loans and Advances (Assets) - JMIT	0	1610	0	Asset	Balance Sheet	PHP	Other Receivables	Payable	0	No		0
1650 - Securities and Deposits - JMIT	Securities and Deposits	JMIT	1100-1600 - Current Assets - JMIT	0	1650	1	Asset	Balance Sheet	PHP			0	No		0
1651 - Earnest Money - JMIT	Earnest Money	JMIT	1650 - Securities and Deposits - JMIT	0	1651	0	Asset	Balance Sheet	PHP	Other Current Assets		0	No		0
1660 - Prepaid Expenses - JMIT	Prepaid Expenses	JMIT	1100-1600 - Current Assets - JMIT	0	1660	0	Asset	Balance Sheet	PHP	Other Current Assets		0	No		0
1670 - Short-term Investments - JMIT	Short-term Investments	JMIT	1100-1600 - Current Assets - JMIT	0	1670	0	Asset	Balance Sheet	PHP	Short-term Investments		0	No		0
1700 - Fixed Assets - JMIT	Fixed Assets	JMIT	1000 - Application of Funds (Assets) - JMIT	0	1700	1	Asset	Balance Sheet	PHP			0	No		0
1710 - Capital Equipment - JMIT	Capital Equipment	JMIT	1700 - Fixed Assets - JMIT	0	1710	0	Asset	Balance Sheet	PHP	Tangible Assets	Fixed Asset	0	No		0
1720 - Electronic Equipment - JMIT	Electronic Equipment	JMIT	1700 - Fixed Assets - JMIT	0	1720	0	Asset	Balance Sheet	PHP	Tangible Assets	Fixed Asset	0	No		0
1730 - Furniture and Fixtures - JMIT	Furniture and Fixtures	JMIT	1700 - Fixed Assets - JMIT	0	1730	0	Asset	Balance Sheet	PHP	Tangible Assets	Fixed Asset	0	No		0
1740 - Office Equipment - JMIT	Office Equipment	JMIT	1700 - Fixed Assets - JMIT	0	1740	0	Asset	Balance Sheet	PHP	Tangible Assets	Fixed Asset	0	No		0
1750 - Plants and Machineries - JMIT	Plants and Machineries	JMIT	1700 - Fixed Assets - JMIT	0	1750	0	Asset	Balance Sheet	PHP	Tangible Assets	Fixed Asset	0	No		0
1760 - Buildings - JMIT	Buildings	JMIT	1700 - Fixed Assets - JMIT	0	1760	0	Asset	Balance Sheet	PHP	Tangible Assets	Fixed Asset	0	No		0
1770 - Software - JMIT	Software	JMIT	1700 - Fixed Assets - JMIT	0	1770	0	Asset	Balance Sheet	PHP	Intangible Assets	Fixed Asset	0	No		0
1780 - Accumulated Depreciation - JMIT	Accumulated Depreciation	JMIT	1700 - Fixed Assets - JMIT	0	1780	0	Asset	Balance Sheet	PHP	Tangible Assets	Accumulated Depreciation	0	No		0
1790 - CWIP Account - JMIT	CWIP Account	JMIT	1700 - Fixed Assets - JMIT	0	1790	0	Asset	Balance Sheet	PHP	Tangible Assets	Capital Work in Progress	0	No		0
1800 - Investments - JMIT	Investments	JMIT	1000 - Application of Funds (Assets) - JMIT	0	1800	1	Asset	Balance Sheet	PHP	Long-term Investments		0	No		0
1900 - Temporary Accounts - JMIT	Temporary Accounts	JMIT	1000 - Application of Funds (Assets) - JMIT	0	1900	1	Asset	Balance Sheet	PHP			0	No		0
1910 - Temporary Opening - JMIT	Temporary Opening	JMIT	1900 - Temporary Accounts - JMIT	0	1910	0	Asset	Balance Sheet	PHP	Other Non-current Assets	Temporary	0	No		0
2000 - Source of Funds (Liabilities) - JMIT	Source of Funds (Liabilities)	JMIT		0	2000	1	Liability	Balance Sheet	PHP			0	No		0
2100-2400 - Current Liabilities - JMIT	Current Liabilities	JMIT	2000 - Source of Funds (Liabilities) - JMIT	0	2100-2400	1	Liability	Balance Sheet	PHP			0	No		0
2100 - Accounts Payable - JMIT	Accounts Payable	JMIT	2100-2400 - Current Liabilities - JMIT	0	2100	1	Liability	Balance Sheet	PHP			0	No		0
2110 - Creditors - JMIT	Creditors	JMIT	2100 - Accounts Payable - JMIT	0	2110	0	Liability	Balance Sheet	PHP	Trade Payables	Payable	0	No		0
2120 - Payroll Payable - JMIT	Payroll Payable	JMIT	2100 - Accounts Payable - JMIT	0	2120	0	Liability	Balance Sheet	PHP	Other Payables	Payable	0	No		0
